Reception time,IP,Attribute,,Part,Score,Times,Edad,Residencia previos ,ResidenciaActual,Nacimiento,Idioma,Group,Experiment,Item,Itemnu,Mood,Factive,Verb,Words
1654500360,1,Audio,audio-button,buffer,0,1.6545E+12,63,NA,madrid,andalucia,no,A,Experiment,critical+9+subj,9,subj,factive,enterarse,12
1654500360,1,Audio,audio-button,buffer,0,1.6545E+12,63,NA,madrid,andalucia,no,A,Experiment,critical+9+subj,9,subj,factive,enterarse,12
1654500360,1,Scale,escala,Choice,5,1.6545E+12,63,NA,madrid,andalucia,no,A,Experiment,critical+9+subj,9,subj,factive,enterarse,12
1654500360,1,PennController,16,_Trial_,End,1.6545E+12,63,NA,madrid,andalucia,no,A,Experiment,critical+9+subj,9,subj,factive,enterarse,12
1654500360,1,PennController,10,_Trial_,Start,1.6545E+12,63,NA,madrid,andalucia,no,A,Experiment,critical+3+subj,3,subj,factive,darse cuenta,13
1654500360,1,PennController,10,_Header_,Start,1.6545E+12,63,NA,madrid,andalucia,no,A,Experiment,critical+3+subj,3,subj,factive,darse cuenta,13
1654500360,1,PennController,10,_Header_,End,1.6545E+12,63,NA,madrid,andalucia,no,A,Experiment,critical+3+subj,3,subj,factive,darse cuenta,13
1654500360,1,Scale,escala,Choice,1,1.6545E+12,63,NA,madrid,andalucia,no,A,Experiment,critical+3+subj,3,subj,factive,darse cuenta,13
1654500360,1,PennController,10,_Trial_,End,1.6545E+12,63,NA,madrid,andalucia,no,A,Experiment,critical+3+subj,3,subj,factive,darse cuenta,13
1654500360,1,PennController,11,_Trial_,Start,1.6545E+12,63,NA,madrid,andalucia,no,A,Experiment,critical+4+ind,4,ind,factive,darse cuenta,13
1654500360,1,PennController,11,_Header_,Start,1.6545E+12,63,NA,madrid,andalucia,no,A,Experiment,critical+4+ind,4,ind,factive,darse cuenta,13
1654500360,1,PennController,11,_Header_,End,1.6545E+12,63,NA,madrid,andalucia,no,A,Experiment,critical+4+ind,4,ind,factive,darse cuenta,13
1654500360,1,Scale,escala,Choice,5,1.6545E+12,63,NA,madrid,andalucia,no,A,Experiment,critical+4+ind,4,ind,factive,darse cuenta,13
1654500360,1,PennController,11,_Trial_,End,1.6545E+12,63,NA,madrid,andalucia,no,A,Experiment,critical+4+ind,4,ind,factive,darse cuenta,13
1654500360,1,PennController,45,_Trial_,Start,1.6545E+12,63,NA,madrid,andalucia,no,A,Pure Fillers ,filler+18+presente,38,subj,,esperar,6
1654500360,1,PennController,45,_Header_,Start,1.6545E+12,63,NA,madrid,andalucia,no,A,Pure Fillers ,filler+18+presente,38,subj,,esperar,6
1654500360,1,PennController,45,_Header_,End,1.6545E+12,63,NA,madrid,andalucia,no,A,Pure Fillers ,filler+18+presente,38,subj,,esperar,6
1654500360,1,Scale,escala,Choice,5,1.6545E+12,63,NA,madrid,andalucia,no,A,Pure Fillers ,filler+18+presente,38,subj,,esperar,6
1654500360,1,PennController,45,_Trial_,End,1.6545E+12,63,NA,madrid,andalucia,no,A,Pure Fillers ,filler+18+presente,38,subj,,esperar,6
1654500360,1,PennController,28,_Trial_,Start,1.6545E+12,63,NA,madrid,andalucia,no,A,Fillers ,filler+1,21,ind,factive,conseguir,4
1654500360,1,PennController,28,_Header_,Start,1.6545E+12,63,NA,madrid,andalucia,no,A,Fillers ,filler+1,21,ind,factive,conseguir,4
1654500360,1,PennController,28,_Header_,End,1.6545E+12,63,NA,madrid,andalucia,no,A,Fillers ,filler+1,21,ind,factive,conseguir,4
1654500360,1,Scale,escala,Choice,1,1.6545E+12,63,NA,madrid,andalucia,no,A,Fillers ,filler+1,21,ind,factive,conseguir,4
1654500360,1,PennController,28,_Trial_,End,1.6545E+12,63,NA,madrid,andalucia,no,A,Fillers ,filler+1,21,ind,factive,conseguir,4
1654500360,1,PennController,46,_Trial_,Start,1.6545E+12,63,NA,madrid,andalucia,no,A,Pure Fillers ,filler+19+pasado,39,subj,,necesito,5
1654500360,1,PennController,46,_Header_,Start,1.6545E+12,63,NA,madrid,andalucia,no,A,Pure Fillers ,filler+19+pasado,39,subj,,necesito,5
